,unitid,year,fips,level_of_study,tuition_type,tuition_fees_ft,tuition_ft,fees_ft,credit_hour_charge_pt,tuition_published,fees_published,tuition_fees_published,tuition_pub_pct_increase,fees_pub_pct_increase,ingested_at_utc
119,101480,2021,1,1,4,20840.0,19440.0,1400.0,648.0,19440.0,1400.0,20840.0,,,2026-02-13T03:05:35
120,101480,2021,1,2,2,10600.0,9600.0,1000.0,400.0,,,,,,2026-02-13T03:05:35
121,101480,2021,1,2,3,10600.0,9600.0,1000.0,400.0,,,,,,2026-02-13T03:05:35
122,101480,2021,1,2,4,20200.0,19200.0,1000.0,800.0,,,,,,2026-02-13T03:05:35
123,101505,2021,1,1,2,4920.0,3690.0,1230.0,123.0,3690.0,1230.0,4920.0,,,2026-02-13T03:05:35
124,101505,2021,1,1,3,4920.0,3690.0,1230.0,123.0,3690.0,1230.0,4920.0,,,2026-02-13T03:05:35
125,101505,2021,1,1,4,8610.0,7380.0,1230.0,256.0,7380.0,1230.0,8610.0,,,2026-02-13T03:05:35
126,101514,2021,1,1,2,4940.0,3690.0,1250.0,123.0,3690.0,1250.0,4940.0,,,2026-02-13T03:05:35
127,101514,2021,1,1,3,4940.0,3690.0,1250.0,123.0,3690.0,1250.0,4940.0,,,2026-02-13T03:05:35
128,101514,2021,1,1,4,8630.0,7380.0,1250.0,246.0,7380.0,1250.0,8630.0,,,2026-02-13T03:05:35
129,101569,2021,1,1,2,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
130,101569,2021,1,1,3,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
131,101569,2021,1,1,4,8550.0,7380.0,1170.0,246.0,7380.0,1170.0,8550.0,,,2026-02-13T03:05:35
132,101587,2021,1,1,2,10990.0,9100.0,1890.0,325.0,9100.0,1890.0,10990.0,,,2026-02-13T03:05:35
133,101587,2021,1,1,3,10990.0,9100.0,1890.0,325.0,9100.0,1890.0,10990.0,,,2026-02-13T03:05:35
134,101587,2021,1,1,4,20090.0,18200.0,1890.0,650.0,18200.0,1890.0,20090.0,,,2026-02-13T03:05:35
135,101587,2021,1,2,2,6868.0,6678.0,190.0,371.0,,,,,,2026-02-13T03:05:35
136,101587,2021,1,2,3,6868.0,6678.0,190.0,371.0,,,,,,2026-02-13T03:05:35
137,101587,2021,1,2,4,13546.0,13356.0,190.0,742.0,,,,,,2026-02-13T03:05:35
138,101602,2021,1,1,2,4860.0,3990.0,870.0,162.0,3690.0,930.0,4620.0,,,2026-02-13T03:05:35
139,101602,2021,1,1,3,4860.0,3990.0,870.0,162.0,3690.0,930.0,4620.0,,,2026-02-13T03:05:35
140,101602,2021,1,1,4,8850.0,7980.0,870.0,285.0,7380.0,930.0,8310.0,,,2026-02-13T03:05:35
141,101648,2021,1,1,2,9218.0,6000.0,3218.0,200.0,6000.0,3218.0,9218.0,,,2026-02-13T03:05:35
142,101648,2021,1,1,3,9218.0,6000.0,3218.0,200.0,6000.0,3218.0,9218.0,,,2026-02-13T03:05:35
143,101648,2021,1,1,4,15218.0,12000.0,3218.0,400.0,12000.0,3218.0,15218.0,,,2026-02-13T03:05:35
144,101675,2021,1,1,2,12714.0,11164.0,1550.0,470.0,11164.0,1550.0,12714.0,,,2026-02-13T03:05:35
145,101675,2021,1,1,3,12714.0,11164.0,1550.0,470.0,11164.0,1550.0,12714.0,,,2026-02-13T03:05:35
146,101675,2021,1,1,4,12714.0,11164.0,1550.0,470.0,11164.0,1550.0,12714.0,,,2026-02-13T03:05:35
147,101693,2021,1,1,2,24855.0,23160.0,1695.0,830.0,23160.0,1695.0,24855.0,,,2026-02-13T03:05:35
148,101693,2021,1,1,3,24855.0,23160.0,1695.0,830.0,23160.0,1695.0,24855.0,,,2026-02-13T03:05:35
149,101693,2021,1,1,4,24855.0,23160.0,1695.0,830.0,23160.0,1695.0,24855.0,,,2026-02-13T03:05:35
150,101693,2021,1,2,2,11640.0,11260.0,380.0,550.0,,,,,,2026-02-13T03:05:35
151,101693,2021,1,2,3,11640.0,11260.0,380.0,550.0,,,,,,2026-02-13T03:05:35
152,101693,2021,1,2,4,11640.0,11260.0,380.0,550.0,,,,,,2026-02-13T03:05:35
153,101709,2021,1,1,2,13710.0,12090.0,1620.0,403.0,12090.0,1620.0,13710.0,,,2026-02-13T03:05:35
154,101709,2021,1,1,3,13710.0,12090.0,1620.0,403.0,12090.0,1620.0,13710.0,,,2026-02-13T03:05:35
155,101709,2021,1,1,4,26730.0,25110.0,1620.0,837.0,25110.0,1620.0,26730.0,,,2026-02-13T03:05:35
156,101709,2021,1,2,2,11916.0,10512.0,1404.0,438.0,,,,,,2026-02-13T03:05:35
157,101709,2021,1,2,3,11916.0,10512.0,1404.0,438.0,,,,,,2026-02-13T03:05:35
158,101709,2021,1,2,4,26532.0,25128.0,1404.0,1047.0,,,,,,2026-02-13T03:05:35
159,101736,2021,1,1,2,4831.0,3690.0,1141.0,123.0,3690.0,1141.0,4831.0,,,2026-02-13T03:05:35
160,101736,2021,1,1,3,4831.0,3690.0,1141.0,123.0,3690.0,1141.0,4831.0,,,2026-02-13T03:05:35
161,101736,2021,1,1,4,8521.0,7380.0,1141.0,246.0,7380.0,1141.0,8521.0,,,2026-02-13T03:05:35
162,101879,2021,1,1,2,10620.0,9600.0,1020.0,320.0,9600.0,1020.0,10620.0,,,2026-02-13T03:05:35
163,101879,2021,1,1,3,10620.0,9600.0,1020.0,320.0,9600.0,1020.0,10620.0,,,2026-02-13T03:05:35
164,101879,2021,1,1,4,20220.0,19200.0,1020.0,640.0,19200.0,1020.0,20220.0,,,2026-02-13T03:05:35
165,101879,2021,1,2,2,7140.0,6600.0,540.0,370.0,,,,,,2026-02-13T03:05:35
166,101879,2021,1,2,3,7140.0,6600.0,540.0,370.0,,,,,,2026-02-13T03:05:35
